step,train_loss
10,2.2698
20,2.2516
30,2.1857
40,2.0467
50,1.807
60,1.5198
70,1.2675
80,0.9884
90,0.7447
100,0.613
110,0.5469
120,0.5134
130,0.4944
140,0.4774
150,0.472
160,0.4757
170,0.4622
180,0.4456
190,0.4499
200,0.436
210,0.4335
220,0.4201
230,0.4137
240,0.4135
250,0.3931
260,0.3953
270,0.3739
280,0.3745
290,0.3766
300,0.3658
310,0.3663
320,0.3578
330,0.3497
340,0.3526
350,0.3634
360,0.338
370,0.3223
380,0.3621
390,0.3254
400,0.3449
410,0.3344
420,0.3366
430,0.3371
440,0.3235
450,0.3198
460,0.3174
470,0.341
480,0.3355
